"file","field_name","Type","Presence","gtfsio_type"
"agency","agency_id","Unique ID","Conditionally Required","character"
"agency","agency_name","Text","Required","character"
"agency","agency_url","URL","Required","character"
"agency","agency_timezone","Timezone","Required","character"
"agency","agency_lang","Language code","Optional","character"
"agency","agency_phone","Phone number","Optional","character"
"agency","agency_fare_url","URL","Optional","character"
"agency","agency_email","Email","Optional","character"
"stops","stop_id","Unique ID","Required","character"
"stops","stop_code","Text","Optional","character"
"stops","stop_name","Text","Conditionally Required","character"
"stops","tts_stop_name","Text","Optional","character"
"stops","stop_desc","Text","Optional","character"
"stops","stop_lat","Latitude","Conditionally Required","numeric"
"stops","stop_lon","Longitude","Conditionally Required","numeric"
"stops","zone_id","ID","Optional","character"
"stops","stop_url","URL","Optional","character"
"stops","location_type","Enum","Optional","integer"
"stops","parent_station","Foreign ID referencing `stops.stop_id`","Conditionally Required","character"
"stops","stop_timezone","Timezone","Optional","character"
"stops","wheelchair_boarding","Enum","Optional","integer"
"stops","level_id","Foreign ID referencing `levels.level_id`","Optional","character"
"stops","platform_code","Text","Optional","character"
"routes","route_id","Unique ID","Required","character"
"routes","agency_id","Foreign ID referencing `agency.agency_id`","Conditionally Required","character"
"routes","route_short_name","Text","Conditionally Required","character"
"routes","route_long_name","Text","Conditionally Required","character"
"routes","route_desc","Text","Optional","character"
"routes","route_type","Enum","Required","integer"
"routes","route_url","URL","Optional","character"
"routes","route_color","Color","Optional","character"
"routes","route_text_color","Color","Optional","character"
"routes","route_sort_order","Non-negative integer","Optional","integer"
"routes","continuous_pickup","Enum","Conditionally Forbidden","integer"
"routes","continuous_drop_off","Enum","Conditionally Forbidden","integer"
"routes","network_id","ID","Conditionally Forbidden","character"
"trips","route_id","Foreign ID referencing `routes.route_id`","Required","character"
"trips","service_id","Foreign ID referencing `calendar.service_id` or `calendar_dates.service_id`","Required","character"
"trips","trip_id","Unique ID","Required","character"
"trips","trip_headsign","Text","Optional","character"
"trips","trip_short_name","Text","Optional","character"
"trips","direction_id","Enum","Optional","integer"
"trips","block_id","ID","Optional","character"
"trips","shape_id","Foreign ID referencing `shapes.shape_id`","Conditionally Required","character"
"trips","wheelchair_accessible","Enum","Optional","integer"
"trips","bikes_allowed","Enum","Optional","integer"
"stop_times","trip_id","Foreign ID referencing `trips.trip_id`","Required","character"
"stop_times","arrival_time","Time","Conditionally Required","character"
"stop_times","departure_time","Time","Conditionally Required","character"
"stop_times","stop_id","Foreign ID referencing `stops.stop_id`","Conditionally Required","character"
"stop_times","location_group_id","Foreign ID referencing `location_groups.location_group_id`","Conditionally Forbidden","character"
"stop_times","location_id","Foreign ID referencing `id` from `locations.geojson`","Conditionally Forbidden","character"
"stop_times","stop_sequence","Non-negative integer","Required","integer"
"stop_times","stop_headsign","Text","Optional","character"
"stop_times","start_pickup_drop_off_window","Time","Conditionally Required","character"
"stop_times","end_pickup_drop_off_window","Time","Conditionally Required","character"
"stop_times","pickup_type","Enum","Conditionally Forbidden","integer"
"stop_times","drop_off_type","Enum","Conditionally Forbidden","integer"
"stop_times","continuous_pickup","Enum","Conditionally Forbidden","integer"
"stop_times","continuous_drop_off","Enum","Conditionally Forbidden","integer"
"stop_times","shape_dist_traveled","Non-negative float","Optional","numeric"
"stop_times","timepoint","Enum","Optional","integer"
"stop_times","pickup_booking_rule_id","Foreign ID referencing `booking_rules.booking_rule_id`","Optional","character"
"stop_times","drop_off_booking_rule_id","Foreign ID referencing `booking_rules.booking_rule_id`","Optional","character"
"calendar","service_id","Unique ID","Required","character"
"calendar","monday","Enum","Required","integer"
"calendar","tuesday","Enum","Required","integer"
"calendar","wednesday","Enum","Required","integer"
"calendar","thursday","Enum","Required","integer"
"calendar","friday","Enum","Required","integer"
"calendar","saturday","Enum","Required","integer"
"calendar","sunday","Enum","Required","integer"
"calendar","start_date","Date","Required","integer"
"calendar","end_date","Date","Required","integer"
"calendar_dates","service_id","Foreign ID referencing `calendar.service_id` or ID","Required","character"
"calendar_dates","date","Date","Required","integer"
"calendar_dates","exception_type","Enum","Required","integer"
"fare_attributes","fare_id","Unique ID","Required","character"
"fare_attributes","price","Non-negative float","Required","numeric"
"fare_attributes","currency_type","Currency code","Required","character"
"fare_attributes","payment_method","Enum","Required","integer"
"fare_attributes","transfers","Enum","Required","integer"
"fare_attributes","agency_id","Foreign ID referencing `agency.agency_id`","Conditionally Required","character"
"fare_attributes","transfer_duration","Non-negative integer","Optional","integer"
"fare_rules","fare_id","Foreign ID referencing `fare_attributes.fare_id`","Required","character"
"fare_rules","route_id","Foreign ID referencing `routes.route_id`","Optional","character"
"fare_rules","origin_id","Foreign ID referencing `stops.zone_id`","Optional","character"
"fare_rules","destination_id","Foreign ID referencing `stops.zone_id`","Optional","character"
"fare_rules","contains_id","Foreign ID referencing `stops.zone_id`","Optional","character"
"timeframes","timeframe_group_id","ID","Required","character"
"timeframes","start_time","Time","Conditionally Required","character"
"timeframes","end_time","Time","Conditionally Required","character"
"timeframes","service_id","Foreign ID referencing `calendar.service_id` or `calendar_dates.service_id`","Required","character"
"fare_media","fare_media_id","Unique ID","Required","character"
"fare_media","fare_media_name","Text","Optional","character"
"fare_media","fare_media_type","Enum","Required","integer"
"fare_products","fare_product_id","ID","Required","character"
"fare_products","fare_product_name","Text","Optional","character"
"fare_products","fare_media_id","Foreign ID referencing `fare_media.fare_media_id`","Optional","character"
"fare_products","amount","Currency amount","Required","numeric"
"fare_products","currency","Currency code","Required","character"
"fare_leg_rules","leg_group_id","ID","Optional","character"
"fare_leg_rules","network_id","Foreign ID referencing `routes.network_id` or `networks.network_id`","Optional","character"
"fare_leg_rules","from_area_id","Foreign ID referencing `areas.area_id`","Optional","character"
"fare_leg_rules","to_area_id","Foreign ID referencing `areas.area_id`","Optional","character"
"fare_leg_rules","from_timeframe_group_id","Foreign ID referencing `timeframes.timeframe_group_id`","Optional","character"
"fare_leg_rules","to_timeframe_group_id","Foreign ID referencing `timeframes.timeframe_group_id`","Optional","character"
"fare_leg_rules","fare_product_id","Foreign ID referencing `fare_products.fare_product_id`","Required","character"
"fare_leg_rules","rule_priority","Non-negative integer","Optional","integer"
"fare_transfer_rules","from_leg_group_id","Foreign ID referencing `fare_leg_rules.leg_group_id`","Optional","character"
"fare_transfer_rules","to_leg_group_id","Foreign ID referencing `fare_leg_rules.leg_group_id`","Optional","character"
"fare_transfer_rules","transfer_count","Non-zero integer","Conditionally Forbidden","integer"
"fare_transfer_rules","duration_limit","Positive integer","Optional","integer"
"fare_transfer_rules","duration_limit_type","Enum","Conditionally Required","integer"
"fare_transfer_rules","fare_transfer_type","Enum","Required","integer"
"fare_transfer_rules","fare_product_id","Foreign ID referencing `fare_products.fare_product_id`","Optional","character"
"areas","area_id","Unique ID","Required","character"
"areas","area_name","Text","Optional","character"
"stop_areas","area_id","Foreign ID referencing `areas.area_id`","Required","character"
"stop_areas","stop_id","Foreign ID referencing `stops.stop_id`","Required","character"
"networks","network_id","Unique ID","Required","character"
"networks","network_name","Text","Optional","character"
"route_networks","network_id","Foreign ID referencing `networks.network_id`","Required","character"
"route_networks","route_id","Foreign ID referencing `routes.route_id`","Required","character"
"shapes","shape_id","ID","Required","character"
"shapes","shape_pt_lat","Latitude","Required","numeric"
"shapes","shape_pt_lon","Longitude","Required","numeric"
"shapes","shape_pt_sequence","Non-negative integer","Required","integer"
"shapes","shape_dist_traveled","Non-negative float","Optional","numeric"
"frequencies","trip_id","Foreign ID referencing `trips.trip_id`","Required","character"
"frequencies","start_time","Time","Required","character"
"frequencies","end_time","Time","Required","character"
"frequencies","headway_secs","Positive integer","Required","integer"
"frequencies","exact_times","Enum","Optional","integer"
"transfers","from_stop_id","Foreign ID referencing `stops.stop_id`","Conditionally Required","character"
"transfers","to_stop_id","Foreign ID referencing `stops.stop_id`","Conditionally Required","character"
"transfers","from_route_id","Foreign ID referencing `routes.route_id`","Optional","character"
"transfers","to_route_id","Foreign ID referencing `routes.route_id`","Optional","character"
"transfers","from_trip_id","Foreign ID referencing `trips.trip_id`","Conditionally Required","character"
"transfers","to_trip_id","Foreign ID referencing `trips.trip_id`","Conditionally Required","character"
"transfers","transfer_type","Enum","Required","integer"
"transfers","min_transfer_time","Non-negative integer","Optional","integer"
"pathways","pathway_id","Unique ID","Required","character"
"pathways","from_stop_id","Foreign ID referencing `stops.stop_id`","Required","character"
"pathways","to_stop_id","Foreign ID referencing `stops.stop_id`","Required","character"
"pathways","pathway_mode","Enum","Required","integer"
"pathways","is_bidirectional","Enum","Required","integer"
"pathways","length","Non-negative float","Optional","numeric"
"pathways","traversal_time","Positive integer","Optional","integer"
"pathways","stair_count","Non-null integer","Optional","integer"
"pathways","max_slope","Float","Optional","numeric"
"pathways","min_width","Positive float","Optional","numeric"
"pathways","signposted_as","Text","Optional","character"
"pathways","reversed_signposted_as","Text","Optional","character"
"levels","level_id","Unique ID","Required","character"
"levels","level_index","Float","Required","numeric"
"levels","level_name","Text","Optional","character"
"location_groups","location_group_id","Unique ID","Required","character"
"location_groups","location_group_name","Text","Optional","character"
"location_group_stops","location_group_id","Foreign ID referencing `location_groups.location_group_id`","Required","character"
"location_group_stops","stop_id","Foreign ID referencing `stops.stop_id`","Required","character"
"locations","type","String","Required","character"
"locations","features","Array","Required","geojson_array"
"locations","type","String","Required","character"
"locations","id","String","Required","character"
"locations","properties","Object","Required","geojson_object"
"locations","stop_name","String","Optional","character"
"locations","stop_desc","String","Optional","character"
"locations","geometry","Object","Required","geojson_object"
"locations","type","String","Required","character"
"locations","coordinates","Array","Required","geojson_array"
"booking_rules","booking_rule_id","Unique ID","Required","character"
"booking_rules","booking_type","Enum","Required","integer"
"booking_rules","prior_notice_duration_min","Integer","Conditionally Required","integer"
"booking_rules","prior_notice_duration_max","Integer","Conditionally Forbidden","integer"
"booking_rules","prior_notice_last_day","Integer","Conditionally Required","integer"
"booking_rules","prior_notice_last_time","Time","Conditionally Required","character"
"booking_rules","prior_notice_start_day","Integer","Conditionally Forbidden","integer"
"booking_rules","prior_notice_start_time","Time","Conditionally Required","character"
"booking_rules","prior_notice_service_id","Foreign ID referencing `calendar.service_id`","Conditionally Forbidden","character"
"booking_rules","message","Text","Optional","character"
"booking_rules","pickup_message","Text","Optional","character"
"booking_rules","drop_off_message","Text","Optional","character"
"booking_rules","phone_number","Phone number","Optional","character"
"booking_rules","info_url","URL","Optional","character"
"booking_rules","booking_url","URL","Optional","character"
"translations","table_name","Enum","Required","character"
"translations","field_name","Text","Required","character"
"translations","language","Language code","Required","character"
"translations","translation","Text or URL or Email or Phone number","Required","character"
"translations","record_id","Foreign ID","Conditionally Required","character"
"translations","record_sub_id","Foreign ID","Conditionally Required","character"
"translations","field_value","Text or URL or Email or Phone number","Conditionally Required","character"
"feed_info","feed_publisher_name","Text","Required","character"
"feed_info","feed_publisher_url","URL","Required","character"
"feed_info","feed_lang","Language code","Required","character"
"feed_info","default_lang","Language code","Optional","character"
"feed_info","feed_start_date","Date","Recommended","integer"
"feed_info","feed_end_date","Date","Recommended","integer"
"feed_info","feed_version","Text","Recommended","character"
"feed_info","feed_contact_email","Email","Optional","character"
"feed_info","feed_contact_url","URL","Optional","character"
"attributions","attribution_id","Unique ID","Optional","character"
"attributions","agency_id","Foreign ID referencing `agency.agency_id`","Optional","character"
"attributions","route_id","Foreign ID referencing `routes.route_id`","Optional","character"
"attributions","trip_id","Foreign ID referencing `trips.trip_id`","Optional","character"
"attributions","organization_name","Text","Required","character"
"attributions","is_producer","Enum","Optional","integer"
"attributions","is_operator","Enum","Optional","integer"
